Exchange rate
About these rates
These rates are mid rates and are included here to be able to calculate an indicative total value for multi-currency accounts. The rates are explicitly not buy or sell rates.
Exchange Rates
Base Currency,Target Currency,Symbol,Currency Description,Exponent,Exchange Rate,Exchange Rate (Platform Settlement),Valid From
AED,AED,,UAE Dirham,2,1.0,1.0,2026-07-08T02:00:00Z
AED,ALL,L,Albanian Lek,2,21.736864483639227,23.081412802214853,2026-07-08T02:00:00Z
AED,AMD,,Armenian Dram,2,96.42354232797919,102.38788515239028,2026-07-08T02:00:00Z
AED,AOA,,Angolan kwanza,2,242.19561182844458,257.1767836941216,2026-07-08T02:00:00Z
AED,ARS,$,Nuevo Argentine Peso,2,394.06323504140914,418.43828050788807,2026-07-08T02:00:00Z
AED,AUD,A$,Australian Dollar,2,0.3808787799231485,0.39737043843528486,2026-07-08T02:00:00Z
AED,AWG,,Aruban Guilder,2,0.472776319243896,0.502020215279601,2026-07-08T02:00:00Z
AED,AZN,man,Azerbaijani manat,2,0.449127664144729,0.47690875677223804,2026-07-08T02:00:00Z
AED,BAM,,Bosnia and Herzegovina Convertible Marks,2,0.452785508007351,0.480792859018115,2026-07-08T02:00:00Z
AED,BBD,,Barbados Dollar,2,0.5282343254015608,0.5609086135707296,2026-07-08T02:00:00Z
AED,BDT,,Bangladesh Taka,2,32.53924139000931,34.55197797083463,2026-07-08T02:00:00Z
AED,BGN,,New Bulgarian Lev,2,0.452785508007351,0.480792859018115,2026-07-08T02:00:00Z
AED,BHD,,Bahraini Dinar,3,0.09952576433805103,0.10568199718370368,2026-07-08T02:00:00Z
AED,BMD,,Bermudian Dollar,2,0.2641171627007804,0.2804543067853648,2026-07-08T02:00:00Z
AED,BND,,Brunei Dollar,2,0.3415916847657462,0.3627210673285759,2026-07-08T02:00:00Z
AED,BOB,,Bolivia Boliviano,2,2.6029818850091884,2.763991073772644,2026-07-08T02:00:00Z
AED,BRL,R$,Brazilian Real,2,1.362454235184611,1.4467297548867517,2026-07-08T02:00:00Z
AED,BSD,,Bahamian Dollar,2,0.2641171627007804,0.2804543067853648,2026-07-08T02:00:00Z
AED,BTN,Nu.,Bhutan Ngultrum,2,25.08254146877014,26.634038879209527,2026-07-08T02:00:00Z
AED,BWP,,Botswana Pula,2,3.7228979211914366,3.9531802668321445,2026-07-08T02:00:00Z
AED,BYN,Br,Belarusian Ruble,2,0.7619774934962649,0.8091101219599515,2026-07-08T02:00:00Z
AED,BYR,Br,Belarusian Ruble,0,7619.774934962648,8091.101219599514,2026-07-08T02:00:00Z
AED,BZD,,Belize Dollar,2,0.5282343254015608,0.5609086135707296,2026-07-08T02:00:00Z
AED,CAD,$,Canadian Dollar,2,0.37510262774767894,0.3913441848254135,2026-07-08T02:00:00Z
AED,CHF,,Swiss Franc,2,0.2136250268502828,0.22287477028091363,2026-07-08T02:00:00Z
AED,CLP,$,Chilean Peso,2,245.5444489128619,260.73276534046164,2026-07-08T02:00:00Z
AED,CNY,¥,Yuan Renminbi,2,1.7948437910212656,1.9058650564452613,2026-07-08T02:00:00Z
AED,COP,₱,Colombian Peso,2,878.0576520919353,932.3704965512304,2026-07-08T02:00:00Z
AED,CRC,,Costa Rican Colon,2,119.38103856893959,126.76543270722452,2026-07-08T02:00:00Z
AED,CUP,,Cuban Peso,2,6.338811904818731,6.730903362848756,2026-07-08T02:00:00Z
AED,CVE,,Cape Verdi Escudo,0,25.653715639991407,27.24054341153727,2026-07-08T02:00:00Z
AED,CZK,,Czech Koruna,2,5.610738919783288,5.9577949354399875,2026-07-08T02:00:00Z
AED,DJF,,Djibouti Franc,0,47.032680242965235,49.94191819613834,2026-07-08T02:00:00Z
AED,DKK,kr,Danish Krone,2,1.7306115897754124,1.8055452874770281,2026-07-08T02:00:00Z
AED,DOP,,Dominican Republic Peso,2,15.564438172748753,16.527186925702285,2026-07-08T02:00:00Z
AED,DZD,,Algerian Dinar,2,35.13758383254971,37.31104262631567,2026-07-08T02:00:00Z
AED,EEK,,Estonian Krone,2,3.622330365879854,3.8463920379961336,2026-07-08T02:00:00Z
AED,EGP,£,Egyptian Pound,2,12.891561373779805,13.688977541230102,2026-07-08T02:00:00Z
AED,ETB,,Ethiopian Birr,2,41.984072054225635,44.5810249647963,2026-07-08T02:00:00Z
AED,EUR,€,Euro,2,0.23150910522924176,0.2415332108164873,2026-07-08T02:00:00Z
AED,FJD,$,Fiji Dollar,2,0.5973166424019666,0.6342640635814697,2026-07-08T02:00:00Z
AED,FKP,,Falkland Islands Pound,2,0.19747816360366596,0.20969330774409892,2026-07-08T02:00:00Z
AED,GBP,£,Pound Sterling,2,0.1977898040526027,0.20635389866106593,2026-07-08T02:00:00Z
AED,GEL,,Georgian Lari,2,0.6951523902718443,0.7381515071958759,2026-07-08T02:00:00Z
AED,GHC,,Ghanaian Cedi (2nd),0,30043.283849256546,31901.631303849736,2026-07-08T02:00:00Z
AED,GHS,GH₵,Ghanaian Cedi (3rd),2,3.0043283849256546,3.1901631303849736,2026-07-08T02:00:00Z
AED,GIP,,Gibraltar Pound,2,0.19747816360366596,0.20969330774409892,2026-07-08T02:00:00Z
AED,GMD,,Gambia Delasi,2,19.412663548056038,20.61344686030693,2026-07-08T02:00:00Z
AED,GNF,,Guinea Franc,0,2316.46335724003,2459.749750471372,2026-07-08T02:00:00Z
AED,GTQ,,Guatemala Quetzal,2,2.012751736318289,2.137251843719421,2026-07-08T02:00:00Z
AED,GYD,,Guyanese Dollar,2,55.248072890761115,58.66547946132366,2026-07-08T02:00:00Z
AED,HKD,$,Hong Kong Dollar,2,2.071358266307072,2.161045943817275,2026-07-08T02:00:00Z
AED,HNL,,Honduras Lempira,2,7.070426979164181,7.507772977875368,2026-07-08T02:00:00Z
